-2.000000	0.018316	0.018316
-1.928571	0.024249	0.024030
-1.857143	0.031778	0.031605
-1.785714	0.041222	0.041150
-1.714286	0.052931	0.052931
-1.642857	0.067274	0.067304
-1.571429	0.084637	0.084665
-1.500000	0.105399	0.105413
-1.428571	0.129923	0.129923
-1.357143	0.158526	0.158519
-1.285714	0.191463	0.191455
-1.214286	0.228895	0.228891
-1.142857	0.270868	0.270868
-1.071429	0.317284	0.317286
-1.000000	0.367879	0.367883
-0.928571	0.422213	0.422215
-0.857143	0.479652	0.479652
-0.785714	0.539374	0.539372
-0.714286	0.600373	0.600371
-0.642857	0.661487	0.661486
-0.571429	0.721422	0.721422
-0.500000	0.778801	0.778802
-0.428571	0.832208	0.832209
-0.357143	0.880249	0.880249
-0.285714	0.921610	0.921610
-0.214286	0.955120	0.955119
-0.142857	0.979799	0.979797
-0.071429	0.994911	0.994910
0.000000	1.000000	1.000000
0.071429	0.994911	0.994912
0.142857	0.979799	0.979800
0.214286	0.955120	0.955121
0.285714	0.921610	0.921610
0.357143	0.880249	0.880247
0.428571	0.832208	0.832205
0.500000	0.778801	0.778798
0.571429	0.721422	0.721422
0.642857	0.661487	0.661490
0.714286	0.600373	0.600379
0.785714	0.539374	0.539379
0.857143	0.479652	0.479652
0.928571	0.422213	0.422204
1.000000	0.367879	0.367861
1.071429	0.317284	0.317266
1.142857	0.270868	0.270868
1.214286	0.228895	0.228933
1.285714	0.191463	0.191544
1.357143	0.158526	0.158617
1.428571	0.129923	0.129923
1.500000	0.105399	0.105143
1.571429	0.084637	0.083981
1.642857	0.067274	0.066381
1.714286	0.052931	0.052931
1.785714	0.041222	0.045562
1.857143	0.031778	0.048702
1.928571	0.024249	0.071100
